Timestamp,position,BLMTI.05R7.B1E10_TCSG.E5R7.B1
1469748625710,1.44,2.2444e-05
1469748625720,1.44,1.448e-05
1469748625730,1.44,1.991e-05
1469748625740,1.44,1.7014e-05
1469748625750,1.44,2.3168000000000002e-05
1469748625760,1.44,1.5204e-05
1469748625770,1.44,1.7375999999999998e-05
1469748625780,1.44,1.4118e-05
1469748625790,1.44,1.5204e-05
1469748625800,1.44,2.1358e-05
1469748625810,1.44,2.2444e-05
1469748625820,1.44,2.353e-05
1469748625830,1.44,2.5702e-05
1469748625840,1.44,1.7014e-05
1469748625850,1.44,2.0996e-05
1469748625860,1.44,1.7375999999999998e-05
1469748625870,1.44,1.7014e-05
1469748625880,1.44,1.7014e-05
1469748625890,1.44,1.8824e-05
1469748625900,1.44,1.5204e-05
1469748625910,1.44,2.2805999999999998e-05
1469748625920,1.44,1.8462e-05
1469748625930,1.44,2.2082e-05
1469748625940,1.44,1.267e-05
1469748625950,1.44,1.8824e-05
1469748625960,1.44,1.7375999999999998e-05
1469748625970,1.44,1.5204e-05
1469748625980,1.44,2.0996e-05
1469748625990,1.44,2.353e-05
1469748626000,1.44,2.534e-05
1469748626010,1.44,2.6788000000000002e-05
1469748626020,1.44,1.8100000000000003e-05
1469748626030,1.44,2.0634e-05
1469748626040,1.44,1.6652e-05
1469748626050,1.44,1.8100000000000003e-05
1469748626060,1.44,1.3755999999999998e-05
1469748626070,1.44,1.8462e-05
1469748626080,1.44,1.7014e-05
1469748626090,1.44,1.7014e-05
1469748626100,1.44,1.4842000000000001e-05
1469748626110,1.44,1.267e-05
1469748626120,1.44,1.4118e-05
1469748626130,1.44,1.7375999999999998e-05
1469748626140,1.44,1.7014e-05
1469748626150,1.44,2.0996e-05
1469748626160,1.44,2.2444e-05
1469748626170,1.44,2.4616e-05
1469748626180,1.44,1.6652e-05
1469748626190,1.44,2.3891999999999998e-05
1469748626200,1.44,1.3032e-05
1469748626210,1.44,2.0996e-05
1469748626220,1.44,1.8824e-05
1469748626230,1.44,1.629e-05
1469748626240,1.44,1.6652e-05
1469748626250,1.44,1.5928e-05
1469748626260,1.44,1.4118e-05
1469748626270,1.44,1.1945999999999999e-05
1469748626280,1.44,1.086e-05
1469748626290,1.44,1.5566e-05
1469748626300,1.44,1.0136000000000001e-05
1469748626310,1.44,1.448e-05
1469748626320,1.44,1.7375999999999998e-05
1469748626330,1.44,1.7014e-05
1469748626340,1.44,1.5928e-05
1469748626350,1.44,1.8462e-05
1469748626360,1.44,1.7375999999999998e-05
1469748626370,1.44,1.8100000000000003e-05
1469748626380,1.44,1.629e-05
1469748626390,1.44,1.5204e-05
1469748626400,1.44,1.0136000000000001e-05
1469748626410,1.44,1.5928e-05
1469748626420,1.44,1.1222e-05
1469748626430,1.44,1.5566e-05
1469748626440,1.44,1.3032e-05
1469748626450,1.44,1.4842000000000001e-05
1469748626460,1.44,1.1945999999999999e-05
1469748626470,1.44,1.7375999999999998e-05
1469748626480,1.44,1.7375999999999998e-05
1469748626490,1.44,2.3891999999999998e-05
1469748626500,1.44,1.7375999999999998e-05
1469748626510,1.44,2.0272000000000002e-05
1469748626520,1.44,1.3032e-05
1469748626530,1.44,1.8462e-05
1469748626540,1.44,1.2308e-05
1469748626550,1.44,1.267e-05
1469748626560,1.44,1.2308e-05
1469748626570,1.44,1.629e-05
1469748626580,1.44,1.1945999999999999e-05
1469748626590,1.44,1.5566e-05
1469748626600,1.44,1.267e-05
1469748626610,1.44,1.448e-05
1469748626620,1.44,1.086e-05
1469748626630,1.44,1.7014e-05
1469748626640,1.44,1.5204e-05
1469748626650,1.44,1.991e-05
1469748626660,1.44,1.8824e-05
1469748626670,1.44,1.7375999999999998e-05
1469748626680,1.44,1.8824e-05
1469748626690,1.44,1.7375999999999998e-05
1469748626700,1.44,1.3032e-05
1469748626710,1.44,1.448e-05
1469748626720,1.44,8.687999999999999e-06
1469748626730,1.44,1.3032e-05
1469748626740,1.44,9.412e-06
1469748626750,1.44,2.0272000000000002e-05
1469748626760,1.44,1.3755999999999998e-05
1469748626770,1.44,1.7375999999999998e-05
1469748626780,1.44,1.4118e-05
1469748626790,1.44,1.7738e-05
1469748626800,1.44,1.3032e-05
1469748626810,1.44,1.4118e-05
1469748626820,1.44,1.267e-05
1469748626830,1.44,1.991e-05
1469748626840,1.44,1.8100000000000003e-05
1469748626850,1.44,1.991e-05
1469748626860,1.44,2.1358e-05
1469748626870,1.44,1.4842000000000001e-05
1469748626880,1.44,1.267e-05
1469748626890,1.44,1.4842000000000001e-05
1469748626900,1.44,9.774e-06
1469748626910,1.44,1.448e-05
1469748626920,1.44,1.267e-05
1469748626930,1.44,1.5204e-05
1469748626940,1.44,1.1584000000000001e-05
1469748626950,1.44,1.0498e-05
1469748626960,1.44,7.964e-06
1469748626970,1.44,1.8462e-05
1469748626980,1.44,9.774e-06
1469748626990,1.44,1.5566e-05
1469748627000,1.44,1.5204e-05
1469748627010,1.44,1.4118e-05
1469748627020,1.44,1.3394000000000001e-05
1469748627030,1.44,1.3755999999999998e-05
1469748627040,1.44,1.448e-05
1469748627050,1.44,1.1584000000000001e-05
1469748627060,1.44,7.24e-06
1469748627070,1.44,1.2308e-05
1469748627080,1.44,9.05e-06
1469748627090,1.44,1.3755999999999998e-05
1469748627100,1.44,1.5204e-05
1469748627110,1.44,1.8462e-05
1469748627120,1.44,9.774e-06
1469748627130,1.44,1.1584000000000001e-05
1469748627140,1.44,1.2308e-05
1469748627150,1.44,1.0498e-05
1469748627160,1.44,8.687999999999999e-06
1469748627170,1.44,1.6652e-05
1469748627180,1.44,1.2308e-05
1469748627190,1.44,2.1358e-05
1469748627200,1.44,1.1945999999999999e-05
1469748627210,1.44,1.0136000000000001e-05
1469748627220,1.44,8.326e-06
1469748627230,1.44,1.1222e-05
1469748627240,1.44,7.964e-06
1469748627250,1.44,1.2308e-05
1469748627260,1.44,9.412e-06
1469748627270,1.44,1.5928e-05
1469748627280,1.44,1.0498e-05
1469748627290,1.44,1.1584000000000001e-05
1469748627300,1.44,1.1945999999999999e-05
1469748627310,1.44,1.086e-05
1469748627320,1.44,1.0136000000000001e-05
1469748627330,1.44,1.4842000000000001e-05
1469748627340,1.44,1.1222e-05
1469748627350,1.44,1.448e-05
1469748627360,1.44,1.448e-05
1469748627370,1.44,1.1945999999999999e-05
1469748627380,1.44,1.1945999999999999e-05
1469748627390,1.44,1.0136000000000001e-05
1469748627400,1.44,1.0136000000000001e-05
1469748627410,1.44,1.1222e-05
1469748627420,1.44,9.05e-06
1469748627430,1.44,1.2308e-05
1469748627440,1.44,1.1584000000000001e-05
1469748627450,1.44,1.4118e-05
1469748627460,1.44,9.412e-06
1469748627470,1.44,1.4842000000000001e-05
1469748627480,1.44,9.05e-06
1469748627490,1.44,1.5566e-05
1469748627500,1.44,9.774e-06
1469748627510,1.44,1.9548e-05
1469748627520,1.44,1.3755999999999998e-05
1469748627530,1.44,1.5566e-05
1469748627540,1.44,1.0498e-05
1469748627550,1.44,1.3755999999999998e-05
1469748627560,1.44,6.516e-06
