Timestamp,position,BLMTI.05L7.B2I10_TCSG.D5L7.B2
1459607342200,-9.165,7.240000000000001e-07
1459607342210,-9.165,7.240000000000001e-07
1459607342220,-9.165,7.240000000000001e-07
1459607342230,-9.165,7.240000000000001e-07
1459607342240,-9.165,0.0
1459607342250,-9.165,0.0
1459607342260,-9.165,0.0
1459607342270,-9.165,3.6200000000000004e-07
1459607342280,-9.165,3.6200000000000004e-07
1459607342290,-9.165,7.240000000000001e-07
1459607342300,-9.165,3.6200000000000004e-07
1459607342310,-9.165,7.240000000000001e-07
1459607342320,-9.165,1.0859999999999999e-06
1459607342330,-9.165,3.6200000000000004e-07
1459607342340,-9.165,0.0
1459607342350,-9.165,1.4480000000000002e-06
1459607342360,-9.165,0.0
1459607342370,-9.165,2.5340000000000002e-06
1459607342380,-9.165,0.0
1459607342390,-9.165,0.0
1459607342400,-9.165,0.0
1459607342410,-9.165,0.0
1459607342420,-9.165,7.240000000000001e-07
1459607342430,-9.165,7.240000000000001e-07
1459607342440,-9.165,0.0
1459607342450,-9.165,0.0
1459607342460,-9.165,7.240000000000001e-07
1459607342470,-9.165,1.4480000000000002e-06
1459607342480,-9.165,3.6200000000000004e-07
1459607342490,-9.165,0.0
1459607342500,-9.165,7.240000000000001e-07
1459607342510,-9.165,0.0
1459607342520,-9.165,7.240000000000001e-07
1459607342530,-9.165,0.0
1459607342540,-9.165,0.0
1459607342550,-9.165,1.4480000000000002e-06
1459607342560,-9.165,7.240000000000001e-07
1459607342570,-9.165,7.240000000000001e-07
1459607342580,-9.165,3.6200000000000004e-07
1459607342590,-9.165,1.0859999999999999e-06
1459607342600,-9.165,3.6200000000000004e-07
1459607342610,-9.165,7.240000000000001e-07
1459607342620,-9.165,0.0
1459607342630,-9.165,0.0
1459607342640,-9.165,3.6200000000000004e-07
1459607342650,-9.165,0.0
1459607342660,-9.165,7.240000000000001e-07
1459607342670,-9.165,3.6200000000000004e-07
1459607342680,-9.165,0.0
1459607342690,-9.165,1.0859999999999999e-06
1459607342700,-9.165,0.0
1459607342710,-9.165,0.0
1459607342720,-9.165,0.0
1459607342760,-9.165,3.6200000000000004e-07
1459607342770,-9.165,1.0859999999999999e-06
1459607342780,-9.165,0.0
1459607342790,-9.165,3.6200000000000004e-07
1459607342800,-9.165,3.6200000000000004e-07
1459607342810,-9.165,0.0
1459607342820,-9.165,3.6200000000000004e-07
1459607342830,-9.165,7.240000000000001e-07
1459607342840,-9.165,3.6200000000000004e-07
1459607342850,-9.165,0.0
1459607342860,-9.165,7.240000000000001e-07
1459607342870,-9.165,1.0859999999999999e-06
1459607342880,-9.165,3.6200000000000004e-07
1459607342890,-9.165,3.6200000000000004e-07
1459607342900,-9.165,1.4480000000000002e-06
1459607342910,-9.165,0.0
1459607342920,-9.165,7.240000000000001e-07
1459607342930,-9.165,0.0
1459607342940,-9.165,3.6200000000000004e-07
1459607342950,-9.165,3.6200000000000004e-07
1459607342960,-9.165,1.4480000000000002e-06
1459607342970,-9.165,1.81e-06
1459607342980,-9.165,0.0
1459607342990,-9.165,1.0859999999999999e-06
1459607343000,-9.165,1.81e-06
1459607343010,-9.165,1.0859999999999999e-06
1459607343020,-9.165,3.6200000000000004e-07
1459607343030,-9.165,3.6200000000000004e-07
1459607343040,-9.165,1.0859999999999999e-06
1459607343050,-9.165,7.240000000000001e-07
1459607343060,-9.165,7.240000000000001e-07
1459607343070,-9.165,0.0
1459607343080,-9.165,0.0
1459607343090,-9.165,0.0
1459607343100,-9.165,1.4480000000000002e-06
1459607343110,-9.165,0.0
1459607343120,-9.165,3.6200000000000004e-07
1459607343130,-9.165,0.0
1459607343140,-9.165,1.0859999999999999e-06
1459607343150,-9.165,1.0859999999999999e-06
1459607343160,-9.165,3.6200000000000004e-07
1459607343170,-9.165,0.0
1459607343180,-9.165,0.0
1459607343190,-9.165,1.0859999999999999e-06
1459607343200,-9.165,0.0
1459607343210,-9.165,0.0
1459607343220,-9.165,0.0
1459607343230,-9.165,1.81e-06
1459607343240,-9.165,0.0
1459607343250,-9.165,0.0
1459607343260,-9.165,0.0
1459607343270,-9.165,7.240000000000001e-07
1459607343280,-9.165,0.0
1459607343290,-9.165,0.0
1459607343300,-9.165,0.0
1459607343310,-9.165,0.0
1459607343320,-9.165,1.81e-06
1459607343330,-9.165,0.0
1459607343340,-9.165,7.240000000000001e-07
1459607343350,-9.165,0.0
1459607343360,-9.165,7.240000000000001e-07
1459607343370,-9.165,2.1719999999999997e-06
1459607343380,-9.165,0.0
1459607343390,-9.165,7.240000000000001e-07
1459607343400,-9.165,0.0
1459607343410,-9.165,0.0
1459607343420,-9.165,1.0859999999999999e-06
1459607343430,-9.165,0.0
1459607343440,-9.165,0.0
1459607343450,-9.165,0.0
1459607343460,-9.165,0.0
1459607343470,-9.165,0.0
1459607343480,-9.165,1.0859999999999999e-06
1459607343490,-9.165,3.6200000000000004e-07
1459607343500,-9.165,0.0
1459607343510,-9.165,3.6200000000000004e-07
1459607343520,-9.165,0.0
1459607343530,-9.165,0.0
1459607343540,-9.165,3.6200000000000004e-07
1459607343550,-9.165,1.4480000000000002e-06
1459607343560,-9.165,3.6200000000000004e-07
1459607343570,-9.165,1.0859999999999999e-06
1459607343580,-9.165,1.4480000000000002e-06
1459607343590,-9.165,1.0859999999999999e-06
1459607343600,-9.165,0.0
1459607343610,-9.165,0.0
1459607343620,-9.165,3.6200000000000004e-07
1459607343630,-9.165,0.0
1459607343640,-9.165,3.6200000000000004e-07
1459607343650,-9.165,2.5340000000000002e-06
1459607343660,-9.165,1.0859999999999999e-06
1459607343670,-9.165,3.6200000000000004e-07
1459607343680,-9.165,1.4480000000000002e-06
1459607343690,-9.165,0.0
1459607343700,-9.165,0.0
1459607343710,-9.165,0.0
1459607343720,-9.165,0.0
1459607343730,-9.165,0.0
1459607343740,-9.165,0.0
1459607343750,-9.165,0.0
1459607343760,-9.165,7.240000000000001e-07
1459607343770,-9.165,0.0
1459607343780,-9.165,3.6200000000000004e-07
1459607343790,-9.165,3.6200000000000004e-07
1459607343800,-9.165,3.6200000000000004e-07
1459607343810,-9.165,1.0859999999999999e-06
1459607343820,-9.165,7.240000000000001e-07
1459607343830,-9.165,1.4480000000000002e-06
1459607343840,-9.165,1.0859999999999999e-06
1459607343850,-9.165,0.0
1459607343860,-9.165,0.0
1459607343870,-9.165,0.0
1459607343880,-9.165,0.0
1459607343890,-9.165,7.240000000000001e-07
1459607343900,-9.165,0.0
1459607343910,-9.165,3.6200000000000004e-07
1459607343920,-9.165,1.0859999999999999e-06
1459607343930,-9.165,7.240000000000001e-07
1459607343940,-9.165,3.6200000000000004e-07
1459607343950,-9.165,0.0
1459607343960,-9.165,1.0859999999999999e-06
1459607343970,-9.165,3.6200000000000004e-07
1459607343980,-9.165,3.6200000000000004e-07
1459607343990,-9.165,3.6200000000000004e-07
1459607344000,-9.165,3.6200000000000004e-07
